bundle,entity_id,name,address,code,store_id,lng,lat,hotline,status,province_id,district_id,type,multiple_type,marker_icon,marker_icon_clicked,category_name,category_slug,start_time,end_time,opentimesales,closetimesales,base_image_uri,get_direction,button_action,access_type,party_id,charging_publish,charging_status,parking_fee
charging_station,309,Vincom Plaza Tuy Hòa,"Hầm B1, Góc Đông Bắc ngã tư đường Hùng Vương và Trần Phú",vfs_M.PYE0003,M.PYE0003,109.308830,13.101414,1900 23 23 89,1,2118,2119,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=13.101414,109.308830",[],Public,vfs,True,ACTIVE,True
charging_station,310,Vincom+ Uông Bí,Khu đô thị Yên Thanh,vfs_M.QNI0006,M.QNI0006,106.752342,21.033751,1900 23 23 89,1,1837,1841,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.033751,106.752342",[],Public,vfs,True,ACTIVE,True
charging_station,311,Vincom Plaza Buôn Ma Thuột,"Số 78, đường Lý Thường Kiệt",vfs_M.DLA0002,M.DLA0002,108.043991,12.681804,1900 23 23 89,1,2186,2187,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=12.681804,108.043991",[],Public,vfs,True,ACTIVE,True
charging_station,312,Vincom+ Tĩnh Gia,"Vincom+ Tĩnh Gia, thôn Nam Yến",vfs_M.THO0004,M.THO0004,105.772141,19.436319,1900 23 23 89,1,1971,1998,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=19.436319,105.772141",[],Public,vfs,True,INACTIVE,True
charging_station,313,"Vinpearl Condotel Riverfront, hầm B1","Hầm B1, khách Sạn Vinpearl Condotel RiverFront Đà Nẵng, số 341, đường Trần Hưng Đạo",vfs_M.DNA0009,M.DNA0009,108.229401,16.070900,1900 23 23 89,1,2064,2068,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=16.070900,108.229401",[],Public,vfs,True,ACTIVE,True
charging_station,314,Vinpearl Resort & Spa Đà Nẵng,"Số 23, đường Trường Sa",vfs_M.DNA0008,M.DNA0008,108.269241,15.993620,1900 23 23 89,1,2064,2069,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=15.993620,108.269241",[],Public,vfs,True,INACTIVE,True
charging_station,315,"Siêu thị Big C, GO! Thái Bình","Tổ 1, đường Trần Thái Tông",vfs_M.TBI0010,M.TBI0010,106.322189,20.441040,1900 23 23 89,1,1935,1936,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.441040,106.322189",[],Public,vfs,True,ACTIVE,True
charging_station,316,Vinwonders Nam Hội An,Đường Võ Chí Công,vfs_M.QNA0005,M.QNA0005,108.408249,15.785338,1900 23 23 89,1,2073,2085,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=15.785338,108.408249",[],Public,vfs,True,INACTIVE,True
charging_station,317,Vincom Plaza KonTum,"Số 2, đường Phan Đình Phùng",vfs_M.KTU0003,M.KTU0003,108.000656,14.348753,1900 23 23 89,1,2157,2158,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=14.348753,108.000656",[],Public,vfs,True,ACTIVE,True
charging_station,318,Vinmec Hạ Long,"Số 10A, đường Lê Thánh Tông",vfs_M.QNI0008,M.QNI0008,107.071999,20.951941,1900 23 23 89,1,1837,1838,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.951941,107.071999",[],Public,vfs,True,ACTIVE,True
charging_station,319,Vincom Ninh Hòa,"Vincom Ninh Hòa, đường 2/4",vfs_M.KHO0008,M.KHO0008,109.132149,12.489082,1900 23 23 89,1,2128,2133,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=12.489082,109.132149",[],Public,vfs,True,ACTIVE,True
charging_station,320,Vincom Plaza Ngô Quyền,"Số 910A, đường Ngô Quyền",vfs_M.DNA0006,M.DNA0006,108.230698,16.071308,1900 23 23 89,1,2064,2068,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=16.071308,108.230698",[],Public,vfs,True,ACTIVE,True
charging_station,321,Tòa nhà SomerSet West Point,"Hầm B3, tòa SomerSet West Point, số 2, đường Tây Hồ",vfs_M.HNO0112,M.HNO0112,105.826782,21.066683,1900 23 23 89,1,1680,1683,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.066683,105.826782",[],Public,vfs,True,INACTIVE,True
charging_station,322,"Vinhomes Ocean Park, B2CT04-PK2",Hầm S2-19 Vinhomes Ocean Park,vfs_M.HNO0064,M.HNO0064,105.942436,20.989639,1900 23 23 89,1,1680,1692,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.989639,105.942436",[],Public,vfs,True,ACTIVE,True
charging_station,323,Vincom Plaza Tuyên Quang,"Hầm Vincom Plaza Tuyên Quang, số 260, đường Quang Trung",vfs_M.TQU0004,M.TQU0004,105.205391,21.818911,1900 23 23 89,1,1743,1744,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=21.818911,105.205391",[],Public,vfs,True,ACTIVE,True
charging_station,324,Vincom Plaza Bắc Kạn,"Hầm Vincom Plaza Bắc Kạn, số 48, đường Trường Chinh",vfs_M.BKA0004,M.BKA0004,105.836563,22.148060,1900 23 23 89,1,1734,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=22.148060,105.836563",[],Public,vfs,True,ACTIVE,True
charging_station,325,Vincom Plaza Lý Bôn,"Tầng hầm Vincom Plaza Lý Bôn, số 460, đường Lý Bôn",vfs_M.TBI0003,M.TBI0003,106.337097,20.444700,1900 23 23 89,1,1935,1936,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=20.444700,106.337097",[],Public,vfs,True,ACTIVE,True
charging_station,326,Vincom Plaza Thái Nguyên,"Số 60, đường Thái Nguyên",vfs_M.KHO0005,M.KHO0005,109.186935,12.248347,1900 23 23 89,1,2128,2129,2445,['2445'],https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot_1658479964_1659168004.svg,https://static-cms-prod.vinfastauto.com/icon-bike-charging-depot-clicked_1658479970_1659168012.svg,Trạm sạc xe máy điện,bike_charging_station,,,,,http://vinfastauto.com/modules/custom/store_locator/assets/images/,"https://www.google.com/maps/search/?api=1&query=12.248347,109.186935",[],Public,vfs,True,INACTIVE,True
